Flow idx, Flow, jumps_raw min, jumps_raw 25, jumps_raw 50, jumps_raw 75, jumps_raw max, jumps_raw std, jumps min, jumps 25, jumps 50, jumps 75, jumps max, jumps std
     110,   O0,    -159,         10.00,         25.00,         69.00,     995,         65.00,    -176,          3.00,         18.00,         63.00,     990,         64.75
     111,   B0,    -497,        -17.00,        -10.00,         -3.00,     186,         10.74,    -487,         -6.00,          0.00,          7.00,     202,         10.01
     112,   O0,    -183,         -5.00,          2.00,          9.00,     288,         10.70,    -186,         -5.00,          1.00,          8.00,     284,         10.02
     113,   B0,    -599,        -19.00,        -12.00,         -6.00,     279,         10.33,    -595,         -7.00,         -1.00,          5.00,     292,          9.65
     114,   O0,    -267,         -2.00,          5.00,         12.00,     274,         10.72,    -267,         -5.00,          2.00,          8.00,     263,         10.01
     115,   A0,    -844,       -111.00,        -55.00,        -31.00,     688,         73.62,    -816,        -88.00,        -32.00,         -9.00,     716,         73.31
     116,   O0,    -231,         18.00,         42.00,        101.00,     829,         73.81,    -241,          9.00,         32.00,         91.00,     816,         73.62
     117,   T0,    -929,        -76.00,        -35.00,        -20.00,     492,         66.81,    -911,        -55.00,        -14.00,          0.00,     504,         66.50
     118,   O0,    -176,         20.00,         36.00,         83.00,     975,         73.25,    -178,          5.00,         21.00,         68.00,     957,         73.00
     119,   G0,    -796,        -85.00,        -39.00,        -22.00,     153,         60.28,    -780,        -67.00,        -21.00,         -4.00,     166,         60.06
     120,   O0,    -187,         12.00,         30.00,         78.00,     848,         61.81,    -189,          6.00,         23.00,         71.00,     839,         61.62
     121,   A0,    -749,        -43.00,        -24.00,        -14.00,     471,         51.38,    -742,        -25.00,         -7.00,          3.00,     491,         51.09
     122,   O0,    -178,         10.00,         21.00,         41.00,     764,         53.66,    -190,          1.00,         11.00,         30.00,     754,         53.47
     123,   T0,    -854,        -50.00,        -29.00,        -18.00,     237,         53.78,    -835,        -30.00,        -10.00,          0.00,     261,         53.44
     124,   O0,    -325,         12.00,         24.00,         47.00,     809,         58.88,    -340,          2.00,         13.00,         35.00,     801,         58.59
     125,   C0,    -886,       -131.00,        -61.00,        -29.00,     256,         72.81,    -871,       -114.00,        -43.00,        -12.00,     259,         72.50
     126,   O0,    -242,         21.00,         56.00,        133.00,     911,         79.12,    -252,         13.00,         48.00,        125.00,     898,         78.94
     127,   T0,    -842,        -38.00,        -24.00,        -15.00,     355,         46.25,    -820,        -19.00,         -5.00,          3.00,     367,         45.88
     128,   O0,    -926,         11.00,         21.00,         36.00,     877,         51.41,    -941,          0.00,          9.00,         23.00,     872,         51.12
     129,   C0,    -703,        -21.00,        -13.00,         -5.00,     948,         24.36,    -693,         -9.00,         -1.00,          5.00,     959,         23.92
     130,   O0,    -422,          1.00,          9.00,         17.00,     769,         26.80,    -426,         -4.00,          3.00,         10.00,     765,         26.44
     131,   A0,    -814,        -64.00,        -34.00,        -21.00,     429,         56.44,    -797,        -46.00,        -16.00,         -3.00,     446,         56.16
     132,   O0,    -199,          9.00,         22.00,         54.00,     796,         57.78,    -199,          3.00,         16.00,         48.00,     792,         57.56
     133,   G0,    -799,       -104.00,        -47.00,        -23.00,     284,         64.38,    -791,        -88.00,        -31.00,         -7.00,     292,         64.06
     134,   O0,    -300,         17.00,         43.00,        103.00,     802,         66.75,    -307,         10.00,         35.00,         96.00,     795,         66.56
     135,   T0,    -890,        -67.00,        -35.00,        -22.00,     306,         60.69,    -865,        -45.00,        -13.00,         -1.00,     318,         60.41
     136,   O0,    -202,         18.00,         33.00,         69.00,     893,         67.44,    -216,          6.00,         20.00,         57.00,     884,         67.19
     137,   C0,    -898,        -88.00,        -36.00,        -17.00,     318,         62.97,    -891,        -77.00,        -24.00,         -6.00,     326,         62.75
     138,   O0,    -559,         15.00,         36.00,         95.00,     951,         70.31,    -563,          9.00,         30.00,         89.00,     947,         70.12
     139,   A0,    -798,        -81.00,        -41.00,        -25.00,     413,         62.09,    -783,        -60.00,        -19.00,         -4.00,     427,         61.84
     140,   O0,    -412,         16.00,         33.00,         77.00,     830,         64.25,    -421,          6.00,         22.00,         66.00,     823,         64.06
     141,   G0,    -698,        -67.00,        -30.00,        -15.00,     202,         53.97,    -683,        -53.00,        -16.00,         -1.00,     217,         53.72
     142,   O0,    -435,         14.00,         30.00,         70.00,     732,         56.69,    -441,          5.00,         20.00,         61.00,     720,         56.50
     143,   C0,    -791,        -48.00,        -22.00,        -10.00,     429,         50.59,    -779,        -38.00,        -12.00,          0.00,     439,         50.38
     144,   O0,    -267,          9.00,         22.00,         53.00,     905,         57.19,    -275,          3.00,         16.00,         47.00,     898,         57.00
     145,   A0,    -742,        -44.00,        -26.00,        -16.00,     167,         46.81,    -725,        -27.00,        -10.00,          0.00,     177,         46.53
     146,   O0,    -154,         11.00,         21.00,         40.00,     717,         48.47,    -162,          1.00,         11.00,         29.00,     711,         48.28
     147,   B0,    -211,        -13.00,         -6.00,          1.00,     240,         11.34,    -204,         -5.00,          2.00,          8.00,     247,         10.69
     148,   O0,    -309,         -7.00,         -1.00,          6.00,     347,         10.62,    -305,         -6.00,          0.00,          7.00,     345,          9.84
     149,   G0,    -653,        -33.00,        -19.00,        -10.00,     205,         38.72,    -641,        -21.00,         -8.00,          1.00,     217,         38.31
     150,   O0,    -225,          5.00,         14.00,         29.00,     698,         40.28,    -234,         -1.00,          8.00,         22.00,     692,         40.03
     151,   C0,    -755,        -27.00,        -15.00,         -7.00,     229,         36.09,    -739,        -15.00,         -5.00,          3.00,     242,         35.81
     152,   O0,    -536,          4.00,         13.00,         25.00,     720,         40.50,    -543,         -2.00,          7.00,         18.00,     714,         40.28
     153,   T0,    -849,       -158.00,        -81.00,        -44.00,     225,         81.94,    -814,       -130.00,        -54.00,        -16.00,     253,         81.56
     154,   O0,    -538,         34.00,         75.00,        158.00,     886,         87.69,    -556,         17.00,         58.00,        141.00,     870,         87.44
     155,   A0,    -759,        -47.00,        -23.00,        -11.00,     849,         52.91,    -739,        -34.00,        -10.00,          1.00,     867,         52.66
     156,   O0,    -534,         10.00,         22.00,         48.00,     794,         55.59,    -543,          3.00,         14.00,         40.00,     784,         55.38
     157,   T0,    -787,        -34.00,        -23.00,        -14.00,     163,         38.19,    -777,        -15.00,         -5.00,          4.00,     178,         37.78
     158,   O0,    -186,         11.00,         21.00,         34.00,     866,         43.03,    -197,          1.00,         10.00,         22.00,     854,         42.72
     159,   G0,    -716,        -81.00,        -39.00,        -23.00,     129,         56.09,    -696,        -63.00,        -21.00,         -5.00,     143,         55.84
     160,   O0,    -184,         14.00,         31.00,         75.00,     753,         57.91,    -188,          6.00,         22.00,         66.00,     749,         57.72
     161,   T0,    -826,        -33.00,        -22.00,        -13.00,     223,         37.56,    -816,        -15.00,         -4.00,          4.00,     237,         37.19
     162,   O0,    -380,         12.00,         21.00,         34.00,     808,         42.28,    -391,          0.00,          9.00,         20.00,     799,         42.00
     163,   C0,    -760,       -113.00,        -52.00,        -26.00,     394,         65.38,    -748,        -96.00,        -35.00,        -10.00,     405,         65.06
     164,   O0,    -157,         24.00,         51.00,        119.00,     912,         71.00,    -176,         11.00,         39.00,        106.00,     892,         70.81
     165,   A0,    -708,        -73.00,        -35.00,        -20.00,     215,         58.81,    -693,        -57.00,        -19.00,         -4.00,     228,         58.59
     166,   O0,    -153,         14.00,         30.00,         70.00,     776,         60.19,    -161,          5.00,         21.00,         62.00,     770,         60.00
     167,   G0,    -703,        -65.00,        -30.00,        -16.00,     207,         52.19,    -694,        -51.00,        -16.00,         -2.00,     217,         51.94
     168,   O0,    -304,         11.00,         26.00,         63.00,     748,         53.72,    -307,          4.00,         18.00,         55.00,     743,         53.50
     169,   T0,    -890,        -93.00,        -46.00,        -28.00,     285,         64.38,    -867,        -70.00,        -23.00,         -6.00,     302,         64.06
     170,   O0,    -308,         25.00,         45.00,         97.00,     848,         69.94,    -330,          8.00,         28.00,         80.00,     831,         69.75
     171,   G0,    -785,        -32.00,        -20.00,        -11.00,     436,         35.22,    -771,        -18.00,         -6.00,          3.00,     447,         34.91
